produit_id,modele,mae,rmse,mape,classe_abc,classe_xyz,classe_abc_xyz
P0023,lstm,19.25,22.798026230355994,180.1014591883265,A,Y,AY
P0024,lstm,11.5,12.227019260637483,51.5625,A,Y,AY
P0105,lstm,4.25,5.361902647381804,43.02447294707357,A,X,AX
P0021,obsolete,3.5,4.415880433163924,100.0,A,Y,AY
P0110,lstm,2.75,3.0413812651491097,22.176434676434674,A,X,AX
P0025,lstm,6.25,8.52936105461599,146.81203931203933,A,Y,AY
P0104,lstm,5.5,5.612486080160912,42.46031746031746,A,X,AX
P0080,lstm,2.75,2.8722813232690143,39.58333333333333,A,Y,AY
P0020,obsolete,,,,A,Y,AY
P0017,obsolete,,,,A,Y,AY
P0094,lstm,5.5,6.708203932499369,43.7310606060606,A,X,AX
P0043,lstm,4.0,4.415880433163924,53.125,A,Y,AY
P0037,lstm,6.75,7.262919523166975,130.9027777777778,A,X,AX
P0051,lstm,4.5,5.916079783099616,151.3888888888889,A,Y,AY
P0014,lstm,17.5,21.42428528562855,48.75945414738518,A,Y,AY
P0016,lstm,21.0,29.017236257093817,59.210526315789465,A,Y,AY
P0073,obsolete,,,,A,Y,AY
P0107,lstm,10.0,14.0,108.00824175824175,A,Y,AY
P0192,lstm,2.75,4.55521678957215,29.583333333333332,A,Y,AY
P0002,obsolete,27.5,33.712015662075146,100.0,A,Y,AY
P0072,lstm,1.5,1.5811388300841898,32.08333333333333,A,X,AX
P0091,lstm,3.5,5.1478150704935,74.16666666666667,A,Y,AY
P0098,lstm,5.0,5.916079783099616,30.606060606060602,A,X,AX
P0115,lstm,11.25,11.5,111.47891963109353,A,X,AX
P0092,lstm,3.5,4.415880433163924,83.33333333333334,A,Y,AY
P0078,lstm,12.75,13.629013170439011,616.6666666666667,A,Y,AY
P0088,lstm,3.0,3.24037034920393,115.23809523809523,A,Y,AY
P0069,obsolete,,,,A,X,AX
P0190,lstm,5.75,5.894913061275798,100.76388888888887,A,X,AX
P0015,croston_sba,5.9371765505566785,6.480745743545268,75.7745114699308,A,Z,AZ
P0068,lstm,4.25,5.361902647381804,251.87499999999997,A,Y,AY
P0046,lstm,7.75,8.52936105461599,120.2777777777778,A,Y,AY
P0004,obsolete,,,,A,Y,AY
P0013,obsolete,,,,A,Y,AY
P0012,obsolete,,,,A,Y,AY
P0008,obsolete,9.75,12.072696467649637,100.0,A,Y,AY
P0022,obsolete,2.5,3.8078865529319543,100.0,A,Y,AY
P0044,lstm,4.75,5.220153254455275,134.34343434343435,A,Y,AY
P0178,lstm,10.0,11.135528725660043,33.195569050832205,A,X,AX
P0062,lstm,5.25,5.852349955359813,73.23232323232322,A,Y,AY
P0188,lstm,5.25,5.979130371550699,97.91666666666667,A,X,AX
P0067,obsolete,,,,A,Y,AY
P0052,lstm,1.25,1.8027756377319946,183.33333333333331,A,Y,AY
P0222,lstm,2.75,3.278719262151,38.26923076923077,A,X,AX
P0071,obsolete,,,,A,Y,AY
P0076,lstm,3.25,3.5,97.5,A,Y,AY
P0045,lstm,4.75,5.766281297335398,177.08333333333331,A,Y,AY
P0042,lstm,5.25,5.979130371550699,161.01190476190476,A,Y,AY
P0066,lstm,4.25,4.769696007084728,125.69444444444444,A,Y,AY
P0147,lstm,5.75,7.566372975210778,15.683643173070791,A,X,AX
P0040,lstm,2.75,3.570714214271425,49.404761904761905,A,Y,AY
P0026,obsolete,,,,A,Z,AZ
P0189,lstm,5.25,8.587782018658833,77.19719973009448,A,X,AX
P0221,lstm,5.0,6.892024376045111,72.17948717948718,A,X,AX
P0011,obsolete,,,,A,Z,AZ
P0109,lstm,8.25,9.473647660748208,42.45337995337996,A,X,AX
P0219,lstm,4.75,4.9749371855331,34.62450592885376,A,X,AX
P0060,lstm,3.5,4.949747468305833,50.0,A,Y,AY
P0056,lstm,2.5,2.9154759474226504,41.964285714285715,A,Y,AY
P0177,lstm,12.0,12.727922061357855,99.34533551554827,A,X,AX
P0230,obsolete,,,,A,Y,AY
P0096,lstm,4.25,4.924428900898052,26.731601731601728,A,X,AX
P0028,obsolete,,,,A,Y,AY
P0029,obsolete,,,,A,Y,AY
P0055,lstm,6.25,7.92148975887743,550.0,A,Y,AY
P0005,lstm,18.75,21.857492994394395,226.8939393939394,A,Y,AY
P0001,obsolete,,,,A,Y,AY
P0186,lstm,4.25,5.267826876426369,44.96527777777778,A,Y,AY
P0090,lstm,4.5,5.5677643628300215,277.5,A,Y,AY
P0019,obsolete,,,,B,Z,BZ
P0112,lightgbm,5.107062266677729,6.463906889080837,44.15867925171681,B,X,BX
P0089,lightgbm,2.2570060783783052,2.495671252443051,44.774915867853906,B,Y,BY
P0054,lightgbm,2.0308931894132325,2.814774611148933,39.28648635107154,B,Y,BY
P0038,lightgbm,1.3524283313525465,1.5435259082592618,30.42875425387088,B,Y,BY
P0158,lightgbm,8.654896247737199,10.254181191974558,24.321029117463848,B,X,BX
P0058,lightgbm,4.245451709069119,4.593566769748833,75.70251394394954,B,Y,BY
P0179,obsolete,27.0,33.324165405903265,100.0,B,Y,BY
P0232,lightgbm,2.952421455692644,3.334932186193052,66.59116302761399,B,Y,BY
P0087,obsolete,,,,B,Y,BY
P0157,lightgbm,9.7525595230065,12.13038066408324,35.84718036238281,B,X,BX
P0086,lightgbm,2.4188244618375814,3.5423208538941573,21.890784231218312,B,X,BX
P0220,lightgbm,4.56322354012337,5.586450863030969,137.23341275475383,B,Y,BY
P0006,lightgbm,14.202317492038386,14.64482497088763,372.0460434764214,B,Y,BY
P0223,lightgbm,10.632464153551169,13.730546757265046,154.82936472317346,B,X,BX
P0095,lightgbm,9.53740552999096,13.170597319837618,97.81041325556531,B,X,BX
P0145,lightgbm,20.97842626726623,23.768622791448234,71.26631336249318,B,X,BX
P0074,lightgbm,0.782422781840973,1.1827576440697567,36.11458054702303,B,Y,BY
P0114,obsolete,,,,B,Y,BY
P0159,lightgbm,8.487483001244438,9.788227037225411,24.96739113219856,B,X,BX
P0075,lightgbm,1.0849176018528526,1.1503069524603438,40.861954609096145,B,Y,BY
P0102,lightgbm,6.6606098580861826,6.92031815575954,46.42774995747094,B,X,BX
P0053,obsolete,,,,B,Y,BY
P0146,lightgbm,13.679367377492438,15.981768328324335,127.64301809102778,B,Y,BY
P0218,lightgbm,2.442142003127949,2.7152055064898413,18.70860627501453,B,X,BX
P0039,lightgbm,2.483087668898022,3.3715339221442915,74.01843326862732,B,Y,BY
P0184,lightgbm,4.43769206198413,4.808140126530774,48.09167631113974,B,X,BX
P0030,obsolete,,,,B,Z,BZ
P0099,lightgbm,8.145065070407052,10.46516931436176,59.65248466800042,B,X,BX
P0248,lightgbm,2.6015513638110956,2.9034412775062752,123.53561317113095,B,Y,BY
P0149,lightgbm,9.171174467875948,11.006155890896379,24.205711856609156,B,X,BX
P0057,obsolete,1.0,1.224744871391589,100.0,B,Y,BY
P0216,lightgbm,4.006881218523903,4.217952389283256,27.38246736991417,B,X,BX
P0255,lightgbm,2.5762359270032835,3.0100032239969092,52.3703452055042,B,Y,BY
P0155,lightgbm,12.871723657357654,13.744628797564676,48.05191423205602,B,X,BX
P0113,lightgbm,3.653862230160067,4.546376219892789,26.327522368885347,B,Y,BY
P0138,lightgbm,22.81935036413201,25.600830984531402,130.41859962916396,B,X,BX
P0270,lightgbm,3.9780272885042884,5.073140622309928,58.214110037474995,B,Y,BY
P0007,obsolete,,,,B,Z,BZ
P0111,obsolete,20.5,21.575449010391416,100.0,B,X,BX
P0152,lightgbm,5.012563590715071,5.859977552785618,12.801417755553885,B,X,BX
P0262,obsolete,,,,B,Y,BY
P0154,lightgbm,14.984899612278053,18.9156832853273,73.74022981764779,B,X,BX
P0180,lightgbm,9.227361348702095,14.999112914156079,28.791550365709707,B,X,BX
P0070,obsolete,,,,B,Y,BY
P0208,obsolete,52.75,65.59153908851354,100.0,B,X,BX
P0009,obsolete,,,,B,Z,BZ
P0032,obsolete,,,,B,Z,BZ
P0018,obsolete,,,,B,X,BX
P0176,lightgbm,16.409812354439904,17.371941389510948,151.33884436330516,B,Y,BY
P0194,lightgbm,1.7810864556746284,2.287339429824062,22.359149576988223,B,X,BX
P0156,lightgbm,10.439192278233742,11.28325925847405,29.47214183802778,B,X,BX
P0269,lightgbm,7.917277587397586,9.034786584941385,207.98057406037665,B,Y,BY
P0061,lightgbm,4.553079668556041,4.698404979413308,285.97422175116225,B,Y,BY
P0191,lightgbm,1.8777805718553715,2.3088344188226553,47.50066253529943,B,Y,BY
P0212,lightgbm,28.779394645457288,37.168587370402584,95.47208915972433,B,X,BX
P0010,obsolete,,,,B,Y,BY
P0048,obsolete,,,,B,Y,BY
P0097,obsolete,,,,B,Y,BY
P0150,sarima,6.828125000000007,9.263134677985644,36.15559895833337,C,Y,CY
P0144,obsolete,,,,C,Y,CY
P0185,sarima,1.597862054371854,2.6072607842426594,8.219490977750011,C,Y,CY
P0083,obsolete,,,,C,Y,CY
P0081,obsolete,,,,C,Y,CY
P0136,sarima,17.0,20.333378692743125,54.975119388174384,C,X,CX
P0201,sarima,6.0583375999213676,6.873833029869943,10.627985098864054,C,X,CX
P0267,sarima,4.656250000000002,5.0253264819313,83.65451388888894,C,Y,CY
P0050,sarima,2.8750000000000027,3.457329171484835,101.97172619047625,C,Y,CY
P0148,sarima,21.0,21.351320948597067,70.3870651169951,C,X,CX
P0135,sarima,15.366187725387192,18.87339537832764,62.352145956423776,C,X,CX
P0134,sarima,15.999999999999998,18.12456896039186,77.07202032859927,C,X,CX
P0217,sarima,3.0312499999999982,3.077768063061281,23.221726190476183,C,X,CX
P0187,croston_sba,2.0459361713333144,2.1872488553767586,147.02588665555334,C,Z,CZ
P0229,sarima,3.75,4.412783277025964,193.4193121693122,C,Y,CY
P0251,sarima,1.1448222553553764,1.4209620776346876,23.577107881859472,C,Y,CY
P0247,obsolete,,,,C,Y,CY
P0101,obsolete,,,,C,Z,CZ
P0141,sarima,17.0,18.01846383747793,40.255910265188376,C,X,CX
P0175,sarima,6.888534165549729,8.319473757205479,29.9652405607629,C,Y,CY
P0197,sarima,15.531250000000007,15.938480362004412,37.15276197771308,C,X,CX
P0059,sarima,5.390625000000002,5.498668162609925,249.21875000000006,C,Y,CY
P0077,obsolete,,,,C,Z,CZ
P0123,sarima,9.160154235173842,10.567242885888145,31.010258957380326,C,X,CX
P0275,sarima,5.499999999999998,5.590169943749473,36.69191919191919,C,X,CX
P0243,sarima,5.140867929570415,5.875973589583478,18.399599179528206,C,X,CX
P0041,croston_sba,2.417440618196032,2.5232497204326942,29.12796909019839,C,Z,CZ
P0079,obsolete,,,,C,Z,CZ
P0209,obsolete,66.75,74.5369036115668,100.0,C,X,CX
P0003,obsolete,,,,C,Z,CZ
P0228,sarima,3.3869098974753897,3.464489319245467,72.15311308578825,C,X,CX
P0049,sarima,4.796874999999999,5.192486308359415,48.48557692307692,C,Y,CY
P0151,sarima,21.266315487179916,24.169059608840573,59.6346152681565,C,Y,CY
P0163,sarima,20.25,23.701265788982663,63.08106575963719,C,X,CX
P0244,sarima,12.191127046843672,17.630077504462555,32.82510991362131,C,X,CX
